"","hour","co2_flux","Site_temp","Chlorophyll","Sea_Surface_Temp","POC","PIC","PAR","Precipitation","co2_flux_sd","Site_temp_sd","Chlorophyll_sd","Sea_Surface_Temp_sd","POC_sd","PIC_sd","PAR_sd","Precipitation_sd"
"1","2015 00",-0.0260499413809524,26.6060603619565,NA,NA,NA,NA,NA,0.0232323232323232,0.415708881885763,1.109270912611,NA,NA,NA,NA,NA,0.0878638590095936
"2","2015 01",-0.259314862526316,26.614739003299,NA,NA,NA,NA,NA,0.0085,0.606514434739857,1.06636212121418,NA,NA,NA,NA,NA,0.051764326080279
"3","2015 02",-0.274602448818182,26.5571459177551,1.1625,29.932,296.75,3.85671428571429e-05,45.276,0.0494897959183673,0.432119355450416,0.902537193103642,0.884965697478883,0.968799944949076,270.867637680948,3.41533520630532e-05,8.63007169355489,0.309180401243934
"4","2015 03",-0.105314541909091,26.4442950339796,1.78,30.64,241,2.4e-05,29.174,0.0326530612244898,0.0795594649022743,0.845582623691312,NA,NA,NA,NA,17.0826696586531,0.270557084779817
"5","2015 04",-0.2575600689375,26.2877496602041,NA,NA,NA,NA,NA,0,0.331329662134462,0.774121157335701,NA,NA,NA,NA,NA,0
"6","2015 05",0.123468516,26.1711711908163,NA,NA,NA,NA,NA,0.00909090909090909,0.662585422111891,0.73305661653502,NA,NA,NA,NA,NA,0.0470364797440895
"7","2015 06",-0.216464710714286,26.0932228913265,NA,NA,NA,NA,NA,0.0176767676767677,0.286064944429004,0.732029530844014,NA,NA,NA,NA,NA,0.0827811015950031
"8","2015 07",-0.196400442625,26.0179422794898,NA,NA,NA,NA,NA,0.00909090909090909,0.324362371685684,0.791593375021906,NA,NA,NA,NA,NA,0.0470364797440895
"9","2015 08",-0.054137081,26.3484909862245,NA,NA,NA,NA,NA,0.0205,0.237495149131851,0.735316759956312,NA,NA,NA,NA,NA,0.103009021866333
"10","2015 09",0.0496805558571429,27.5864275481609,NA,NA,NA,NA,NA,0.0224489795918367,0.337411487027375,0.71885027516903,NA,NA,NA,NA,NA,0.104812657853766
"11","2015 10",0.0445496026056338,27.819507539881,NA,NA,NA,NA,NA,0.00757575757575758,0.193620269033158,0.528698376607074,NA,NA,NA,NA,NA,0.0393594349628356
"12","2015 11",0.0402667429259259,27.9382707822727,NA,NA,NA,NA,NA,0.024,0.125170954289694,0.578929582015616,NA,NA,NA,NA,NA,0.147962594235602
"13","2015 12",0.028767243359375,28.24831749,NA,NA,NA,NA,NA,0.0065,0.135499920776457,0.514921896650217,NA,NA,NA,NA,NA,0.0650000000000002
"14","2015 13",0.03359719124,28.4375952116364,NA,NA,NA,NA,NA,0.036,0.116742259495198,0.556096733490419,NA,NA,NA,NA,NA,0.257226858173202
"15","2015 14",0.049769490625,28.44937416625,NA,NA,NA,NA,NA,0.025,0.150922987629575,0.656316446729931,NA,NA,NA,NA,NA,0.25
"16","2015 15",-0.00436664727272728,28.4324054911765,NA,NA,NA,NA,NA,0.015,0.0824550535691597,0.434106484655763,NA,NA,NA,NA,NA,0.111350751676807
"17","2015 16",0.0149963748571429,28.35574541625,NA,NA,NA,NA,NA,0.245360824742268,0.0411265127846411,0.517075300759092,NA,NA,NA,NA,NA,1.52413025871565
"18","2015 17",-0.0868209824444444,27.22516520875,NA,NA,NA,NA,NA,1.021,0.2432762356948,1.05377690035937,NA,NA,NA,NA,NA,3.34491306827897
"19","2015 18",-0.107533937636364,27.5192053705556,NA,NA,NA,NA,NA,1.16666666666667,0.148105592854912,1.27766551676787,NA,NA,NA,NA,NA,3.70002068389144
"20","2015 19",-0.11024636175,27.3203117649412,NA,NA,NA,NA,NA,0.228,0.0962154974206747,1.17607049695633,NA,NA,NA,NA,NA,0.89010611102772
"21","2015 20",-0.3138828205,26.8909004708696,NA,NA,NA,NA,NA,0.50050505050505,0.402665194491942,1.03077927896045,NA,NA,NA,NA,NA,2.04771518952788
"22","2015 21",-0.092255133,26.8168264180851,NA,NA,NA,NA,NA,0.7859375,0.152973853776583,1.06870757676321,NA,NA,NA,NA,NA,2.92256829306546
"23","2015 22",-0.1457238055,26.7172374462766,NA,NA,NA,NA,NA,0.49,0.188211802978793,1.12438571338761,NA,NA,NA,NA,NA,1.99348686953034
"24","2015 23",-0.0445424628666667,26.6020342655914,NA,NA,NA,NA,NA,0.3605,0.283891948880583,1.14408328155517,NA,NA,NA,NA,NA,1.60575503811268
"25","2016 00",-0.069571890443038,27.483818944944,NA,NA,NA,NA,NA,0.482355679702048,0.331611175236578,1.30036781216627,NA,NA,NA,NA,NA,2.62237411017262
"26","2016 01",-0.107957107378378,27.3544721731519,NA,NA,NA,NA,NA,0.30056338028169,0.332795484087046,1.26449362188523,NA,NA,NA,NA,NA,1.50799457459932
"27","2016 02",0.00448101240909091,27.2381092545584,0.854821428571429,30.7812643678161,172.203571428571,0.000160391071428571,46.1953228346457,0.285091420534459,0.494688263703387,1.2693978148238,0.482896529746858,1.15677257980556,55.3185484733178,0.000247144028546319,11.921723399092,1.48057467385808
"28","2016 03",-0.0733672980106383,27.0955125694908,NA,30.91,NA,NA,41.6535,0.412114845938375,0.251620284824538,1.29167191686325,NA,NA,NA,NA,10.9512106802689,2.00967948941765
"29","2016 04",-0.0422699270520833,26.9608595746003,NA,NA,NA,NA,NA,0.316972693032015,0.445686353762205,1.2770469324568,NA,NA,NA,NA,NA,1.39819864035224
"30","2016 05",-0.0399801297244898,26.8095316043983,NA,NA,NA,NA,NA,0.507022471910112,0.2812978488088,1.24958143091489,NA,NA,NA,NA,NA,2.85302289599365
"31","2016 06",-0.0438502318045977,26.6403233333102,NA,NA,NA,NA,NA,0.534957627118644,0.378868884155881,1.24662526147374,NA,NA,NA,NA,NA,2.52218369798983
"32","2016 07",-0.0922387141911765,26.5058963518194,NA,NA,NA,NA,NA,0.327949438202247,0.335032370780909,1.24442433600295,NA,NA,NA,NA,NA,1.77424685639453
"33","2016 08",-0.0734830914731183,27.0297318439636,NA,NA,NA,NA,NA,0.244022503516174,0.512755750795443,1.39916460520918,NA,NA,NA,NA,NA,1.33934874632473
"34","2016 09",-0.0126778811302932,27.8709644424198,NA,NA,NA,NA,NA,0.177279102384292,0.368077511437341,1.42479890961856,NA,NA,NA,NA,NA,1.06719594876473
"35","2016 10",0.00735509338689218,28.2402377570846,NA,NA,NA,NA,NA,0.17436797752809,0.250705519263288,1.35972697817699,NA,NA,NA,NA,NA,1.26123904630035
"36","2016 11",0.000868610258333333,28.5407229617085,NA,NA,NA,NA,NA,0.134295774647887,0.238319080520387,1.26041714231592,NA,NA,NA,NA,NA,0.905723376544913
"37","2016 12",0.0132918992452316,28.8398163287629,NA,NA,NA,NA,NA,0.124942049142327,0.259199690600487,1.21982357552947,NA,NA,NA,NA,NA,0.919516912014516
"38","2016 13",0.0248707828333333,29.0178841206383,NA,NA,NA,NA,NA,0.135714285714286,0.232163946844468,1.23506176795028,NA,NA,NA,NA,NA,1.27396355321516
"39","2016 14",0.00270949509701493,29.0018124738682,NA,NA,NA,NA,NA,0.0665055248618785,0.276169140907997,1.33359526007103,NA,NA,NA,NA,NA,0.585858308034064
"40","2016 15",0.0108755048333333,28.8241461386425,NA,NA,NA,NA,NA,0.124722222222222,0.102919434151874,1.42104697093476,NA,NA,NA,NA,NA,0.992541689195274
"41","2016 16",-0.00368943290909091,28.3543676052299,NA,NA,NA,NA,NA,0.145,0.123065140373892,1.45628935026829,NA,NA,NA,NA,NA,0.99029153769205
"42","2016 17",0.0187436051458333,28.0828223900629,NA,NA,NA,NA,NA,0.213611111111111,0.229097809315091,1.52070206082592,NA,NA,NA,NA,NA,1.62650448643176
"43","2016 18",-0.00309248307692308,28.4109689089455,NA,NA,NA,NA,NA,0.136030428769018,0.198842022221324,1.61913535951323,NA,NA,NA,NA,NA,1.07319965028764
"44","2016 19",-0.007446065,28.595362731441,NA,NA,NA,NA,NA,0.13463687150838,0.614203669086483,1.53741686300314,NA,NA,NA,NA,NA,0.799554951020584
"45","2016 20",0.0576417371489362,28.1483979329353,NA,NA,NA,NA,NA,0.129916897506925,0.533822226526429,1.39634768088927,NA,NA,NA,NA,NA,0.708516446389381
"46","2016 21",-0.0275959564464286,27.8547882603207,NA,NA,NA,NA,NA,0.221666666666667,0.397849867169033,1.29341926471487,NA,NA,NA,NA,NA,1.28839475977809
"47","2016 22",-0.07896520521875,27.7019916570774,NA,NA,NA,NA,NA,0.338488210818308,0.536055324144826,1.29772672089313,NA,NA,NA,NA,NA,1.87201223143775
"48","2016 23",-0.0755100354871795,27.6058449623596,NA,NA,NA,NA,NA,0.324861111111111,0.351900110533598,1.27428078994136,NA,NA,NA,NA,NA,1.7757385918955
"49","2017 00",-0.111879470470588,26.662987216699,NA,NA,NA,NA,NA,0.111515748031496,0.573954012752983,1.16913610123797,NA,NA,NA,NA,NA,0.723820039412874
"50","2017 01",-0.131527128325581,26.516892583175,NA,NA,NA,NA,NA,0.253543307086614,0.4670495391784,1.19495766205138,NA,NA,NA,NA,NA,1.73930579797525
"51","2017 02",-0.07184338762,26.4455951740299,0.922857142857143,30.7338775510204,171.852941176471,0.000112908787878788,45.1512251308901,0.122277227722772,0.33901080604936,1.23229983792917,0.873665609165575,1.10150430534514,81.9627307592395,0.000225421831348441,12.7173531583546,0.719701328578303
"52","2017 03",-0.0790903986333333,26.3084361554774,0.38,31.518,94.2,0.00013199,43.838625,0.0752,0.333052809596806,1.24035514281178,NA,1.30926315154747,NA,NA,10.7063858755729,0.403919871416411
"53","2017 04",-0.10136276035,26.16385203345,NA,NA,NA,NA,NA,0.216766467065868,0.578258247583563,1.2193424960977,NA,NA,NA,NA,NA,1.12173005814826
"54","2017 05",-0.1575797746,26.0094576347727,NA,NA,NA,NA,NA,0.259719438877756,0.504120763139482,1.15760812791066,NA,NA,NA,NA,NA,1.53390422456012
"55","2017 06",-0.0661223063902439,25.8516261745547,NA,NA,NA,NA,NA,0.279341317365269,0.454301633022935,1.07287483563061,NA,NA,NA,NA,NA,1.62462529995981
"56","2017 07",-0.31264768695,25.742893121145,NA,NA,NA,NA,NA,0.272410358565737,0.464672770795031,0.986209095425571,NA,NA,NA,NA,NA,1.75060889519173
"57","2017 08",0.0919816093035714,26.4575782478974,NA,NA,NA,NA,NA,0.173982939632546,0.44014305129217,1.24107434014033,NA,NA,NA,NA,NA,1.26148224204775
"58","2017 09",0.0315497105136187,27.4430473809788,NA,NA,NA,NA,NA,0.22509765625,0.272427505287935,1.19802740898712,NA,NA,NA,NA,NA,1.78190238668935
"59","2017 10",0.0375815457955975,27.8062471029945,NA,NA,NA,NA,NA,0.193725868725869,0.262822232533271,1.11705506440909,NA,NA,NA,NA,NA,1.21487166826569
"60","2017 11",0.0138898214013841,28.0030111342308,NA,NA,NA,NA,NA,0.151007147498376,0.202328754714083,1.13131871224691,NA,NA,NA,NA,NA,0.756111933098638
"61","2017 12",0.0230371775027933,28.1627981410897,NA,NA,NA,NA,NA,0.372884615384615,0.182205432829873,1.16337471602077,NA,NA,NA,NA,NA,2.54679430260895
"62","2017 13",0.039442301988764,28.2388138930153,NA,NA,NA,NA,NA,0.240558766859345,0.38637541266805,1.26768176249638,NA,NA,NA,NA,NA,1.29156659982033
"63","2017 14",-0.0113979597090909,28.3008850188333,NA,NA,NA,NA,NA,0.167766990291262,0.220003823625505,1.21906738398134,NA,NA,NA,NA,NA,1.03530097884966
"64","2017 15",0.0587714960882353,28.0701487879091,NA,NA,NA,NA,NA,0.15019267822736,0.129129839742965,1.55792530748394,NA,NA,NA,NA,NA,0.906199135952099
"65","2017 16",0.062983668,28.0613124755446,NA,NA,NA,NA,NA,0.1747591522158,0.152993245246939,1.83702219523513,NA,NA,NA,NA,NA,1.16875700802642
"66","2017 17",-0.0369448645416667,28.1148556124786,NA,NA,NA,NA,NA,0.0991329479768786,0.183144676896276,1.79308018111329,NA,NA,NA,NA,NA,0.664687213905401
"67","2017 18",0.0270259065652174,28.1977515486364,NA,NA,NA,NA,NA,0.279369720597791,0.254882649920308,1.65407114601202,NA,NA,NA,NA,NA,1.67898620475474
"68","2017 19",-0.134222028533333,27.8639696585175,NA,NA,NA,NA,NA,0.326019417475728,0.293080143536916,1.35445515537613,NA,NA,NA,NA,NA,1.63028329387848
"69","2017 20",-0.109115132842105,27.289007026299,NA,NA,NA,NA,NA,0.487015503875969,0.521343151218866,1.30725131525085,NA,NA,NA,NA,NA,2.78594530988354
"70","2017 21",-0.0533192047777778,27.0395635291443,NA,NA,NA,NA,NA,0.191763565891473,0.402411006503861,1.30924782577211,NA,NA,NA,NA,NA,0.979927176960463
"71","2017 22",-0.0329573835135135,26.9050492495642,NA,NA,NA,NA,NA,0.253898635477583,0.461216762399732,1.24165402664891,NA,NA,NA,NA,NA,1.65127034592467
"72","2017 23",-0.273936277521739,26.7597959627184,NA,NA,NA,NA,NA,0.26943359375,0.591678260883904,1.17294887027996,NA,NA,NA,NA,NA,1.70504554331525
